dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.609090,1.163104,2.485711,3.287433,2.528591,0.838397,6.170329
0.020000,2.675461,1.155844,2.552478,3.338336,2.545142,0.827552,6.178235
0.020000,2.742909,1.149028,2.620269,3.389563,2.561335,0.809664,6.186782
0.020000,2.811441,1.142716,2.689091,3.441103,2.577011,0.783793,6.195988
0.020000,2.881063,1.136973,2.758950,3.492942,2.591972,0.748035,6.205871
0.020000,2.951781,1.131867,2.829851,3.545062,2.605998,0.701340,6.216447
0.020000,3.023595,1.127471,2.901800,3.597439,2.618809,0.640513,6.227731
0.020000,3.096506,1.123859,2.974801,3.650042,2.630190,0.569068,6.239734
0.020000,3.170512,1.121110,3.048857,3.702838,2.639792,0.480089,6.252469
0.020000,3.245606,1.119306,3.123973,3.755784,2.647280,0.374431,6.265944
0.020000,3.321779,1.118530,3.200150,3.808827,2.652147,0.243302,6.280165
0.020000,3.399016,1.118872,3.277388,3.861915,2.654433,0.114306,0.011948
0.020000,3.461975,1.119394,3.340349,3.148048,-35.693367,-1917.389980,6.276297
0.020000,3.524319,1.117932,3.402709,3.118033,-1.500760,1709.630358,6.244192
0.020000,3.588993,1.114488,3.467475,3.238281,6.012423,375.659133,6.216671
0.020000,3.655811,1.109226,3.534501,3.351274,5.649627,-18.139805,6.193319
0.020000,3.724628,1.102322,3.603663,3.458100,5.341294,-15.416622,6.173785
0.020000,3.795332,1.093960,3.674860,3.559879,5.088981,-12.615679,6.157781
0.020000,3.867850,1.084328,3.748014,3.657714,4.891755,-9.861276,6.145080
0.020000,3.942136,1.073620,3.823068,3.752674,4.747982,-7.188654,6.135519
0.020000,4.018174,1.062035,3.899984,3.845801,4.656365,-4.580837,6.128994
0.020000,4.095978,1.049781,3.978747,3.938131,4.616479,-1.994302,6.125458
0.020000,4.175585,1.037077,4.059361,4.030727,4.629781,0.665092,6.124928
0.020000,4.257061,1.024160,4.141855,4.124708,4.699051,3.463500,6.127483
0.020000,4.340500,1.011287,4.226281,4.221302,4.829740,6.534431,6.133272
0.020000,4.426024,0.998748,4.312719,4.321906,5.030197,10.022846,6.142524
0.020000,4.513788,0.986877,4.401282,4.428136,5.311461,14.063210,6.155562
0.020000,4.603980,0.976063,4.492121,4.541938,5.690131,18.933512,6.172819
0.020000,4.696830,0.966773,4.585434,4.665632,6.184700,24.728421,6.194860
0.020000,4.792601,0.959579,4.681475,4.802068,6.821770,31.853539,6.222415
0.020000,4.891596,0.955195,4.780566,4.954578,7.625529,40.187930,6.256405
0.020000,4.994134,0.954522,4.883107,5.127036,8.622901,49.868605,0.014785
0.020000,5.100520,0.958716,4.989576,5.323441,9.820239,59.866901,0.065301
0.020000,5.210962,0.969250,5.100519,5.547154,11.185666,68.271356,0.126330
0.020000,5.325416,0.987968,5.216494,5.798741,12.579341,69.683718,0.199475
0.020000,5.443336,1.017067,5.337951,6.072841,13.704979,56.281940,0.286031
0.020000,5.563315,1.058892,5.465011,6.353028,14.009356,15.218840,0.386357
0.020000,5.682778,1.115443,5.597183,6.608590,12.778119,-61.561866,0.499049
0.020000,5.798016,1.187596,5.733145,6.798106,9.475768,-165.117550,0.620323
0.020000,5.904882,1.274441,5.870850,6.885221,4.355751,-256.000818,0.744303
0.020000,5.999981,1.373313,6.008034,6.859197,-1.301177,-282.846441,0.864494
0.020000,6.081583,1.480652,6.142869,6.741772,-5.871246,-228.503455,0.975652
0.020000,6.149705,1.593089,6.274332,6.573157,-8.430757,-127.975512,1.074845
0.020000,6.205522,1.708093,6.402166,6.391704,-9.072635,-32.093894,1.161342
0.020000,6.250689,1.824059,6.526618,6.222589,-8.455754,30.844035,1.235857
0.020000,6.286875,1.940101,6.648171,6.077653,-7.246825,60.446455,1.299785
0.020000,6.315500,2.055573,6.767138,5.948356,-6.464833,39.099583,1.354591
